"","kmenas_KernelPCA_clip_9","phenoshapeAll.1","phenoshapeAll.2","phenoshapeAll.3","phenoshapeAll.4","phenoshapeAll.5","phenoshapeAll.6","phenoshapeAll.7","phenoshapeAll.8","phenoshapeAll.9","phenoshapeAll.10","phenoshapeAll.11","phenoshapeAll.12","phenoshapeAll.13","phenoshapeAll.14","phenoshapeAll.15","phenoshapeAll.16","phenoshapeAll.17","phenoshapeAll.18","phenoshapeAll.19","phenoshapeAll.20","phenoshapeAll.21","phenoshapeAll.22","phenoshapeAll.23","phenoshapeAll.24","phenoshapeAll.25","phenoshapeAll.26","phenoshapeAll.27","phenoshapeAll.28","phenoshapeAll.29","phenoshapeAll.30","phenoshapeAll.31","phenoshapeAll.32","phenoshapeAll.33","phenoshapeAll.34","phenoshapeAll.35","phenoshapeAll.36","phenoshapeAll.37","phenoshapeAll.38","phenoshapeAll.39","phenoshapeAll.40","phenoshapeAll.41","phenoshapeAll.42","phenoshapeAll.43","phenoshapeAll.44","phenoshapeAll.45","phenoshapeAll.46","phenoshapeAll.47","phenoshapeAll.48","phenoshapeAll.49","phenoshapeAll.50","phenoshapeAll.51","phenoshapeAll.52","sos","pos","eos","vsos","vpos","veos","los","msp","mau","vmsp","vmau","ampl","ios","rog","ros","sw","rmse_all","rmse_SOS","rmse_POS","rmse_EOS","dem_10m"
"220",9,0.462665810868635,0.445127596899796,0.417075016564855,0.418962807632229,0.415282477230489,0.412560821267045,0.421575598426727,0.417315684748198,0.388484696587045,0.375969604232533,0.361000083729667,0.346039895050591,0.349945285498402,0.366739817900389,0.371161061070688,0.39123635967559,0.426774071075876,0.454478023187332,0.482729077836231,0.571718026232416,0.664859331924107,0.765066616666322,0.858812089316532,0.97696412654012,1.1012898003719,1.15170004201261,1.2652190542257,1.378960587258,1.42194790158121,1.45633577434293,1.56897001596789,1.57582045609314,1.53282539149458,1.56635506825265,1.57131625298343,1.47031056711534,1.45298442993737,1.52123247808056,1.51544993796639,1.4629497830919,1.4869901391878,1.4194770095358,1.30787459749777,1.21481484732586,1.12056183231614,1.00156916846308,0.889138411737535,0.789912751973998,0.683158062803853,0.607996394686512,0.498538004897455,0.540000907564551,146,223,301,0.664859331924107,1.57582045609314,1.30787459749777,155,181,259,1.15170004201261,1.45298442993737,1.22978056104255,193.569775623066,0.0118306639502472,-0.0034352033153253,-1.25200471861939,0.00831752395331849,0.00789257135419068,0.00804400092924616,0.00792190748022931,1943
"221",9,0.533182595942312,0.501892176415083,0.454839536369152,0.434938790398375,0.422193743857897,0.416386325193891,0.428584867918276,0.426831851859142,0.419191197693954,0.417838379351575,0.409429989926086,0.412254845728537,0.44046464794591,0.447252602949625,0.477129000086311,0.563122522318988,0.683433058049421,0.810887167113382,0.949509559942639,0.967418711000242,1.12534989046197,1.16374578799769,1.2800591633892,1.36920762903958,1.43805784200676,1.49851144041355,1.55535984213078,1.38759372568736,1.40739247698957,1.47105323293427,1.3250513957244,1.25230675663972,1.30638844583444,1.21815695784634,1.19365910109102,1.19821888946264,1.20891544440884,1.21827478750207,1.18094236901058,1.11450508043511,1.12342146256002,1.03179299051692,0.978644300988684,0.935318277816392,0.916695201469702,0.793425991096114,0.751316896882517,0.681173256913639,0.61257327123425,0.560410672344566,0.479813842533953,0.524281334695872,125,188,280,0.810887167113382,1.55535984213078,1.11450508043511,155,153,237,1.16374578799769,1.21815695784634,1.1459298522047,180.755540424728,0.0118170265875778,-0.00479189958364858,-0.213593320643136,0.0328012215736962,0.0325346305386418,0.031599002367329,0.0294611549896489,1364
"222",4,0.779903872313413,0.779903872313413,0.779903872313413,0.779903872313413,0.711454478589147,0.701268866928213,0.729139356653397,0.766194716066935,0.812434945168826,0.981361031554501,1.08491072514081,1.18121534712624,1.24415834564329,1.34926669093055,1.39535723272226,1.4396952596871,1.41362459491421,1.39913431727428,1.32614767787701,1.25298385424936,1.20363475411423,1.17226093461051,1.12961797111474,1.10491257195145,1.08741280526601,1.02338756091039,0.988770318683184,0.99099073316818,0.955944176127391,0.923889115211234,0.858159091098409,0.76299368375845,0.645491373671253,0.573103465246995,0.485405501996771,0.51381596343271,0.523317380621915,0.529797690413506,0.568786114762682,0.574726086276725,0.495008840652157,0.505442524317711,0.494199316457463,0.441868083083235,0.457221241963136,0.510883248951172,0.51495313331561,0.553085773277616,0.581159475025168,0.584668687743612,0.584668687743612,0.584668687743612,68,110,202,0.981361031554501,1.4396952596871,0.955944176127391,134,89,153,1.24415834564329,1.17226093461051,0.997827176603867,146.653096219699,0.0109127197174429,-0.00525816395173598,0.0756570188517548,0.00672428091242594,0.00599842561512608,0.00507475193831365,0.00250154928738892,647
"223",3,0.486663074228748,0.481763485879599,0.462567462416141,0.461860277626757,0.458722013591458,0.454770546844582,0.458015108592765,0.467458267100618,0.450086507278798,0.448270641877047,0.435484125532194,0.436262408668319,0.427367248009762,0.433806426173907,0.458131703254639,0.512313206899728,0.557637787460837,0.626572370142441,0.728347143059683,0.834836284104067,0.883722296902116,0.974491234698269,1.02853572438829,1.07299766041603,1.10176507074332,1.18376226907697,1.21438515586784,1.2857119926542,1.30492410091801,1.27188334928071,1.30916663907236,1.32276291480869,1.29077914157279,1.28258813226036,1.32671994029871,1.21309700041814,1.13094970963928,1.02884661611402,0.959552891691953,0.827869720414349,0.769308748163341,0.723187910975736,0.711201266894484,0.664139071426915,0.643071983642906,0.621635449739481,0.591615591148432,0.561541413881783,0.52944648133733,0.512901773081545,0.472499019304842,0.463882426374624,153,245,301,0.974491234698269,1.32671994029871,0.711201266894484,148,195,273,1.2857119926542,0.959552891691953,0.899352692288951,153.715184133931,0.00382857288696135,-0.0109914048822184,-0.879519715004583,0.00792046162077804,0.00710996279796566,0.00757248784099355,0.00768703910423695,1925
"224",9,1.14928702650687,0.48458911090411,0.499227795914164,0.334375753160558,0.309511515352469,0.400593736218785,0.509326132819661,0.617369159958344,0.639565052370436,0.718816913427912,0.660832018907743,0.660755759297953,0.671105472949535,0.792274760348429,0.922217323157834,1.08858964411089,1.15595121834358,1.24975101115917,1.34013269164441,1.33428982975598,1.24515143465594,1.29087167475008,1.32716743131557,1.2659343324201,1.25779926188267,1.38461016016567,1.39218346405463,1.30154651882274,1.35388175032497,1.34755298515851,1.33763646853901,1.28587905825942,1.33763007705475,1.15106386081613,1.18133804192375,1.06652649981529,0.992478727626557,0.83275177309314,0.96907835289915,0.91561971525497,0.755917828658245,0.682972448329098,0.680348733628389,0.600815039267611,0.525937333442216,0.632764473211443,0.732868447569907,0.87052760824431,0.827049891199381,0.909973618647021,0.583016538062154,1.22901437866495,96,188,252,0.792274760348429,1.39218346405463,1.06652649981529,156,139,223,1.33428982975598,1.28587905825942,1.08267194870216,180.864855956546,0.0065207467794152,-0.00508839006623961,-1.49816652536137,0.0295667978488475,0.0287873198563816,0.0237541663135937,0.012908381235552,1951
"225",3,0.42626959667694,0.444476977534436,0.402681749636894,0.39972969019393,0.39544790491511,0.405893507170535,0.419496433611019,0.416666435411458,0.403531862267325,0.386901771955475,0.386918147026877,0.39115233616292,0.396907946475592,0.418309571575767,0.451711486239256,0.485652807290747,0.524441131910554,0.579861399955819,0.642186669678897,0.769381685216836,0.84873284636884,0.949218195796023,1.07610633425638,1.15060068567365,1.16122325236054,1.15423942084746,1.12384486558399,1.06611773331464,1.03808065254372,1.00883375970504,1.06087074574613,1.0196178737133,0.911272049259418,0.876576260049437,0.893648511551445,0.747980647160025,0.765352998928726,0.78569307884484,0.770281764594745,0.6706803660262,0.689962932902708,0.647598695234961,0.655966554215574,0.627252487444619,0.609598608600127,0.599667832822026,0.556935277014412,0.535438703885621,0.502957961942838,0.491285182994499,0.440247700220361,0.490501595532509,103,174,280,0.451711486239256,1.16122325236054,0.6706803660262,177,139,230,0.769381685216836,0.911272049259418,0.774321480405068,146.910200242593,0.009993123466497,-0.00462776307862587,-0.435675763895031,0.0112153703006187,0.0111027728735323,0.0108914596322714,0.0103562357226632,1140
"226",9,0.382616843659492,0.401928617579561,0.422176572891009,0.433667599402421,0.438199983704549,0.432907159130872,0.430123506865376,0.436951006511909,0.444170687343322,0.446912984651376,0.453052391639856,0.469803861117384,0.482782093910365,0.50478769134541,0.537483319690335,0.571653521951907,0.61944548026632,0.677742466292784,0.751497535395912,0.857828052543799,0.975374991671039,1.07554978842583,1.15755937932739,1.22359663178198,1.25697200369585,1.24746390507514,1.32082409897349,1.32348431607407,1.31705293437074,1.33361243148756,1.41834188114857,1.36579042786956,1.29488735032083,1.26035318019968,1.24637632942932,1.13449517844139,1.07873385864637,1.10919699180391,1.08813169678872,1.03836723351752,1.02759865912813,1.00881400527703,0.970593907323641,0.922692819088277,0.835515510231379,0.765866246272386,0.6799557812136,0.598431566664153,0.545846926466149,0.502835633685393,0.4725770989722,0.413457519851931,110,216,294,0.571653521951907,1.41834188114857,1.00881400527703,184,160,252,1.15755937932739,1.13449517844139,1.03572503748908,193.539241858945,0.00798762603015719,-0.00525035738296843,-0.929718320613221,0.00852605016451869,0.00844477578841995,0.00842205705835709,0.00829534522213264,1985
"227",9,0.434315023163468,0.428213996518415,0.424451696753966,0.419367507883089,0.414791737899299,0.413470085764163,0.420164793774684,0.409488108708378,0.415717695394861,0.428785418685396,0.435032226118205,0.43379632255264,0.469816641421733,0.525201248351098,0.633542850902755,0.789582273962655,1.01170398191896,1.23390088867275,1.41622690086134,1.51388354916726,1.60206600382222,1.61717241621429,1.63167034159687,1.61773420629916,1.67455900705282,1.68344151665201,1.68097686364228,1.59721154608558,1.60822006523351,1.51195916694373,1.39733348919475,1.26510672974618,1.20653823544771,1.09119314594888,1.04241403993773,0.986890896577001,0.977769219399721,0.974224586915343,0.936694989382212,0.872594890229467,0.833163218419451,0.773091484361035,0.703105334655586,0.652268655805704,0.601049695088428,0.551017761643923,0.516480168065699,0.474728799491574,0.443514796109415,0.431066255737152,0.439330180762397,0.4207509983922,110,181,273,0.789582273962655,1.68344151665201,0.936694989382212,163,146,230,1.60206600382222,1.20653823544771,1.27395340794363,207.63423361863,0.0125895667984416,-0.00811681007901951,-0.379370422424299,0.00562739142168458,0.00546457011214531,0.00551462629797743,0.0054519173601024,1005
"228",9,0.428861389379952,0.449741660057442,0.430193432422048,0.42912850340435,0.41886978256976,0.407924708813975,0.403944151804769,0.394496827472012,0.378317505091421,0.367055876841851,0.357100606832196,0.38281532273461,0.422155054026505,0.576038578600325,0.700609357164195,0.836009136982336,0.971687281946136,1.14202782479791,1.24654945543095,1.4210198444313,1.57131732366831,1.69331047243757,1.75609217714835,1.78397336306941,1.78346152424171,1.76661128740609,1.75754741826878,1.6829233296478,1.62868285921537,1.52732093858371,1.44281956089237,1.30691152322685,1.26077697611184,1.14914261174086,1.11193368726606,1.03986722044189,1.01593035609099,0.980681721504815,0.976562068551254,0.915508186115229,0.937785204248897,0.903244647892373,0.887987168480641,0.839510528086999,0.784600146096269,0.685357333478412,0.622364550142886,0.546650250727771,0.502664482030527,0.490304465438922,0.461787353788746,0.500310927695178,110,167,259,0.836009136982336,1.78397336306941,1.01593035609099,149,139,216,1.4210198444313,1.44281956089237,1.42687275623721,198.45479170433,0.0166309513348609,-0.00834829355411323,-0.256633891837577,0.00557119690703306,0.00526568084231598,0.00497564535146763,0.00409005830505386,2047
"229",9,0.503001517250478,0.487309834581507,0.47230688164509,0.464604442059271,0.459024957463878,0.449906953007622,0.452866850476648,0.453012218336065,0.451590633934083,0.448968385753762,0.455837959952113,0.486282572910148,0.474331267255337,0.501047765402693,0.573663873859427,0.617811720425868,0.646973636876436,0.744683679670937,0.845454737642503,0.970129248687052,1.04360163820414,1.15858831937099,1.24501495700561,1.28596075721321,1.28090931039147,1.32184757085228,1.42137867895115,1.40849322083469,1.41077768349413,1.38920508013237,1.47516493393767,1.393198638458,1.3295560085169,1.28586355954519,1.31709862289495,1.13062337647849,1.09760060243044,1.15640178876445,1.14663011434758,1.07629592563397,1.12675108670363,1.10898466486206,1.05591099986597,1.0058068217905,0.934249560609595,0.860942302828641,0.761664118920581,0.693789023174481,0.645187479995415,0.59448857460843,0.550121269025745,0.492857557633122,125,216,301,0.744683679670937,1.47516493393767,1.05591099986597,176,167,259,1.28596075721321,1.09760060243044,1.02619654818391,200.439656859925,0.0080272665304037,-0.00493239922437302,-0.434911081733384,0.0155460872120069,0.0141959109087805,0.0149479358185007,0.0151018093347145,2028
"230",3,0.506348246674728,0.434299295639604,0.407843973853941,0.396045888340925,0.385877900404089,0.405835747542395,0.42902592355251,0.427216675941784,0.414399488211452,0.418518209773637,0.421684323340245,0.438192063701805,0.464879484642096,0.475291297087544,0.545259467134432,0.599534215525308,0.653229718399793,0.716359130693477,0.811930632106495,0.864307310052235,0.89814565236339,0.928699029450763,0.936979291653519,0.934062488530936,0.882416732282498,0.833604494582677,0.753005089352651,0.876726694759004,0.791595135595489,0.750122107017888,0.923568483470839,0.899815021338965,0.679269622928156,0.74477992946002,0.926122933975974,0.70353585343182,0.794267016800703,0.806423902004023,0.811045313035513,0.620160066876284,0.63585658290826,0.561773573473244,0.614182166852257,0.564691889240053,0.556326051993669,0.538222815197935,0.509891207471163,0.473659003072542,0.443131319024191,0.435361052400207,0.423515417833821,0.421791552031073,96,160,287,0.475291297087544,0.936979291653519,0.63585658290826,191,125,223,0.716359130693477,0.899815021338965,0.55110139124943,142.236034816987,0.00721387491509335,-0.00237104495075007,-0.527939320580766,0.0394502770854245,0.0393539428555807,0.0385767993029617,0.03692617796788,276
"231",9,0.546124828532236,0.564285628605845,0.528952702373824,0.515280730661189,0.498312933328583,0.478966141759118,0.46334113081377,0.450067834561057,0.442560844976995,0.436412052767877,0.433732811799096,0.453854595869169,0.487715826800675,0.532682977200015,0.586649763605514,0.685028250966797,0.748602269705461,0.805395533833712,0.860389371010315,0.942430523294541,0.966149736856685,1.07479034003784,1.12846314195989,1.17313788215969,1.1932362824851,1.21073209177995,1.19109032694998,1.19034921233321,1.21297048547092,1.2080672123638,1.29670075398949,1.28980833473539,1.25922164268293,1.23303492043805,1.286773160094,1.16331987596213,1.16112586714081,1.2100792921057,1.19655617138964,1.09647969720157,1.1103494426471,1.05692803095852,1.03556144166329,1.00778886426308,0.97740853814332,0.914824525043006,0.860926412761146,0.767567117379929,0.704750294864108,0.654711581317196,0.625018812231138,0.570931639443436,132,216,301,0.860389371010315,1.29670075398949,1.03556144166329,169,174,259,1.1932362824851,1.16112586714081,0.862967942190395,182.224710075639,0.00519418313070448,-0.0030722272038377,-0.875412234194943,0.00893748555404236,0.00877459165334708,0.00870332367812884,0.00839789382699707,1999
